"Type";"ShortType"
"Abbaye";"ABE"
"Agglomération";"AGL"
"Aire";"AIRE"
"Allée";"ALL"
"Ancien chemin";"ACH"
"Ancienne route";"ART"
"Anse";"ANSE"
"Arcade";"ARC"
"Autoroute";"AUT"
"Avenue";"AV"
"Barrière";"BRE"
"Bas chemin";"BCH"
"Bastide";"BSTD"
"Baston";"BAST"
"Beguinage";"BEGI"
"Berge";"BER"
"Bois";"BOIS"
"Boucle";"BCLE"
"Boulevard";"BD"
"Bourg";"BRG"
"Butte";"BUT"
"Cale";"CALE"
"Camp";"CAMP"
"Campagne";"CGNE"
"Camping";"CPG"
"Carré";"CARR"
"Carreau";"CAU"
"Carrefour";"CAR"
"Carrière";"CARE"
"Castel";"CST"
"Cavée";"CAV"
"Centre";"CTRE"
"Chalet";"CHL"
"Chapelle";"CHP"
"Charmille";"CHI"
"Château";"CHT"
"Chaussée";"CHS"
"Chemin";"CHE"
"Chemin vicinal";"CHV"
"Cheminement";"CHEM"
"Chez";"CHEZ"
"Cîte";"CITE"
"Cloître";"CLOI"
"Clos";"CLOS"
"Col";"COL"
"Colline";"COLI"
"Contour";"CTR"
"Corniche";"COR"
"Côte";"COTE"
"Cottage";"COTT"
"Cour";"COUR"
"Cours";"CRS"
"Darse";"DARS"
"Degré";"DEG"
"Descente";"DSG"
"Digue";"DIG"
"Domaine";"DOM"
"Ecluse";"ECL"
"Eglise";"EGL"
"Enceinte";"EN"
"Enclave";"ENV"
"Enclos";"ENC"
"Escalier";"ESC"
"Espace";"ESPA"
"Petite avenue";"PAE"
"Etang";"ETNG"
"Faubourg";"FG"
"Ferme";"FRM"
"Fontaine";"FON"
"Fort";"FORT"
"Forum";"FORM"
"Fosse";"FOS"
"Foyer";"FOYR"
"Galerie";"GAL"
"Gare";"GARE"
"Garenne";"GARN"
"Grand boulevard";"GBD"
"Grande ensemble";"GDEN"
"Grande rue";"GR"
"Grille";"GRI"
"Grimpette";"GRIM"
"Groupe";"GPE"
"Groupement";"GPT"
"Halle";"HLE"
"Hameau";"HAM"
"Haut chemin";"HCH"
"Hippodrome";"HIP"
"HLM";"HLM"
"Ile";"ILE"
"Immeuble";"IMM"
"Impasse";"IMP"
"Jardin";"JARD"
"Jetée";"JTE"
"Levée";"LEVE"
"Lieu dit";"LD"
"Lotissement";"LOT"
"Mail";"MAIL"
"Maison forestière";"MF"
"Manoir";"MAN"
"Marche";"MAR"
"Mas";"MAS"
"Métro";"MET"
"Montée";"MTE"
"Moulin";"MLN"
"Musée";"MUS"
"Nouvelle route";"NTE"
"Palais";"PAL"
"Parc";"PARC"
"Parking";"PKG"
"Parvis";"PRV"
"Passage";"PAS"
"Passage à niveau";"PN"
"Passe";"PASS"
"Passerelle";"PLE"
"Patio";"PAT"
"Pavillon";"PAV"
"Périphérique";"PERI"
"Péristyle";"PSTY"
"Petites allée";"PTA"
"Petit chemin";"PCH"
"Petite avenue";"PAE"
"Petite impasse";"PIM"
"Petite route";"PRT"
"Petite rue";"PTR"
"Place";"PL"
"Placis";"PLCI"
"Plage";"PLAG"
"Plaine";"PLN"
"Plan";"PLAN"
"Plateau";"PLT"
"Pointe";"PNT"
"Pont";"PONT"
"Porche";"PCH"
"Port";"PORT"
"Porte";"PTE"
"Portique";"PORQ"
"Poterne";"POT"
"Pourtour";"POUR"
"Pré";"PRE"
"Presqu'île";"PRQ"
"Promenade";"PROM"
"Quai";"QU"
"Quartier";"QUA"
"Raccourci";"RAC"
"Raidillon";"RAID"
"Rampe";"RPE"
"Rempart";"REM"
"Résidence";"RES"
"Rocade";"ROC"
"Rond point";"RPT"
"Roquet";"ROQT"
"Rotonde";"RTD"
"Route";"RTE"
"Rue";"R"
"Ruelle";"RLE"
"Sentier";"SEN"
"Square";"SQ"
"Stade";"STDE"
"Station";"STA"
"Terre plein";"TPL"
"Terrain";"TRN"
"Terrasse";"TSSE"
"Tertre";"TRT"
"Tour";"TOUR"
"Traverse";"TRA"
"Vallée";"VAL"
"Venelle";"VEN"
"Via";"VIA"
"Vieille route";"VTE"
"Vieux chemin";"VCHE"
"Villa";"VLA"
"Village";"VGE"
"Voie";"VOI"
"Zone";"ZONE"
"Zone artisanale";"ZA"
"Zone d'aménagement";"ZAC"
"concerté";" "
"Zone d'aménagement différé";"ZAD"
"Zone industrielle";"ZI"
"Zone à urbaniser en priorité";"ZUP"
